"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 28 18:01:53 UTC 2026","Tue Jul 28 18:01:55 UTC 2026","2103","","org.taf.api.specs.booking.BookingCreateTest","","org.taf.api.specs.booking.BookingCreateTest","create_booking_with_various_guest_data","create booking with various guest data (String, String, int, String) create [""Carol"" ""White"", price=500, needs=""Extra pillows""]",""
"passed","Tue Jul 28 18:01:48 UTC 2026","Tue Jul 28 18:01:48 UTC 2026","98","","org.taf.api.specs.graphql.GraphQlNegativeTest","","org.taf.api.specs.graphql.GraphQlNegativeTest","malformed_query_returns_errors","malformed query returns errors",""
"passed","Tue Jul 28 18:01:51 UTC 2026","Tue Jul 28 18:01:53 UTC 2026","2121","","org.taf.api.specs.booking.BookingCreateTest","","org.taf.api.specs.booking.BookingCreateTest","create_booking_with_various_guest_data","create booking with various guest data (String, String, int, String) create [""Bob"" ""Jones"", price=99, needs=""""]",""
"passed","Tue Jul 28 18:01:46 UTC 2026","Tue Jul 28 18:01:49 UTC 2026","2301","","org.taf.api.specs.booking.BookingUpdateTest","","org.taf.api.specs.booking.BookingUpdateTest","update_booking_replaces_fields","update booking replaces fields",""
"passed","Tue Jul 28 18:01:51 UTC 2026","Tue Jul 28 18:01:53 UTC 2026","2184","","org.taf.api.specs.booking.BookingReadTest","","org.taf.api.specs.booking.BookingReadTest","get_booking_list_filtered_by_name","get booking list filtered by name (String, String) filter by firstname=""James"" lastname=""Brown""",""
"passed","Tue Jul 28 18:01:43 UTC 2026","Tue Jul 28 18:01:47 UTC 2026","3731","","org.taf.api.specs.graphql.GraphQlNegativeTest","","org.taf.api.specs.graphql.GraphQlNegativeTest","nonexistent_id_returns_null_data","nonexistent id returns null data",""
"passed","Tue Jul 28 18:01:46 UTC 2026","Tue Jul 28 18:01:47 UTC 2026","363","","org.taf.api.specs.booking.BookingCreateTest","","org.taf.api.specs.booking.BookingCreateTest","create_booking_with_empty_body_returns_error","create booking with empty body returns error",""
"passed","Tue Jul 28 18:01:51 UTC 2026","Tue Jul 28 18:01:53 UTC 2026","2266","","org.taf.api.specs.booking.BookingUpdateTest","","org.taf.api.specs.booking.BookingUpdateTest","update_booking_twice_changes_different_fields","update booking twice changes different fields",""
"passed","Tue Jul 28 18:01:48 UTC 2026","Tue Jul 28 18:01:52 UTC 2026","4347","","org.taf.api.specs.graphql.GraphQlQueryTest","","org.taf.api.specs.graphql.GraphQlQueryTest","fragment_query_returns_nested_published_by_name","fragment query returns nested published by name",""
"passed","Tue Jul 28 18:01:52 UTC 2026","Tue Jul 28 18:01:54 UTC 2026","2163","","org.taf.api.specs.graphql.GraphQlQueryTest","","org.taf.api.specs.graphql.GraphQlQueryTest","list_movies_returns_non_empty_collection","list movies returns non empty collection",""
"passed","Tue Jul 28 18:01:53 UTC 2026","Tue Jul 28 18:01:55 UTC 2026","2140","","org.taf.api.specs.booking.BookingReadTest","","org.taf.api.specs.booking.BookingReadTest","get_booking_list_filtered_by_name","get booking list filtered by name (String, String) filter by firstname=""Alice"" lastname=""Smith""",""
"passed","Tue Jul 28 18:01:49 UTC 2026","Tue Jul 28 18:01:51 UTC 2026","2232","","org.taf.api.specs.booking.BookingUpdateTest","","org.taf.api.specs.booking.BookingUpdateTest","update_booking_without_auth_returns_403","update booking without auth returns 403",""
"passed","Tue Jul 28 18:01:54 UTC 2026","Tue Jul 28 18:01:59 UTC 2026","4189","","org.taf.api.specs.graphql.GraphQlQueryTest","","org.taf.api.specs.graphql.GraphQlQueryTest","movie_by_id_returns_all_requested_fields","movie by id returns all requested fields",""
"passed","Tue Jul 28 18:01:47 UTC 2026","Tue Jul 28 18:01:48 UTC 2026","818","","org.taf.api.specs.graphql.GraphQlNegativeTest","","org.taf.api.specs.graphql.GraphQlNegativeTest","nonexistent_field_returns_validation_error","nonexistent field returns validation error",""
"passed","Tue Jul 28 18:01:46 UTC 2026","Tue Jul 28 18:01:49 UTC 2026","2299","","org.taf.api.specs.booking.BookingDeleteTest","","org.taf.api.specs.booking.BookingDeleteTest","delete_booking_removes_it_and_get_returns_404","delete booking removes it and get returns 404",""
"passed","Tue Jul 28 18:01:47 UTC 2026","Tue Jul 28 18:01:49 UTC 2026","2175","","org.taf.api.specs.booking.BookingCreateTest","","org.taf.api.specs.booking.BookingCreateTest","create_booking_returns_booking_id_and_data","create booking returns booking id and data",""
"passed","Tue Jul 28 18:01:49 UTC 2026","Tue Jul 28 18:01:51 UTC 2026","2219","","org.taf.api.specs.booking.BookingDeleteTest","","org.taf.api.specs.booking.BookingDeleteTest","delete_booking_without_auth_returns_403","delete booking without auth returns 403",""
"passed","Tue Jul 28 18:01:46 UTC 2026","Tue Jul 28 18:01:49 UTC 2026","2306","","org.taf.api.specs.booking.BookingReadTest","","org.taf.api.specs.booking.BookingReadTest","get_nonexistent_booking_returns_404","get nonexistent booking returns 404",""
"passed","Tue Jul 28 18:01:49 UTC 2026","Tue Jul 28 18:01:51 UTC 2026","2224","","org.taf.api.specs.booking.BookingReadTest","","org.taf.api.specs.booking.BookingReadTest","get_booking_by_id_returns_correct_data","get booking by id returns correct data",""
"passed","Tue Jul 28 18:01:49 UTC 2026","Tue Jul 28 18:01:51 UTC 2026","2137","","org.taf.api.specs.booking.BookingCreateTest","","org.taf.api.specs.booking.BookingCreateTest","create_booking_with_various_guest_data","create booking with various guest data (String, String, int, String) create [""Alice"" ""Smith"", price=200, needs=""Late checkout""]",""
